name,total_ops,threads,spent,throughput,latency
DelegationServer,33554432,1,31.689339451,1.0588555199102185,0
DelegationServer,33554432,2,19.306794012,1.73795980726497,0
DelegationServer,33554432,3,14.009830589,2.395063365458944,0
DelegationServer,33554432,4,11.252898836,2.9818478321917796,0
DelegationServer,33554432,5,9.660133612,3.473495641749515,0
DelegationServer,33554432,6,8.984858122,3.7345533501346924,0
DelegationServer,33554432,7,8.952858715,3.7479014321740025,0
DelegationServer,33554432,8,8.058904423,4.163646848104579,0
DelegationServer,33554432,9,8.483954923,3.9550460020755107,0
DelegationServer,33554432,10,7.42944607,4.516411006130367,0
DelegationServer,33554432,11,7.338668747,4.572277773638009,0
DelegationServer,33554432,12,7.906787809,4.24375015626526,0
DelegationServer,33554432,13,7.674829762,4.372009939052509,0
DelegationServer,33554432,14,8.46371649,3.964503305332242,0
DelegationServer,33554432,15,8.623265165,3.8911515948958995,0
DelegationServer,33554432,16,8.610335099,3.8969949037055476,0
DelegationServer,33554432,17,8.575490626,3.912829418560197,0
DelegationServer,33554432,18,8.322448033,4.0317983202719505,0
DelegationServer,33554432,19,8.646364009,3.880756346259907,0
DelegationServer,33554432,20,8.673070705,3.8688064632813344,0
DelegationServer,33554432,21,9.060685677,3.7032994186274317,0
DelegationServer,33554432,22,8.5038697,3.9457838823659306,0
DelegationServer,33554432,23,8.596478775,3.903276315598185,0
DelegationServer,33554432,24,8.778172792,3.822484792117544,0
DelegationServer,33554432,25,8.665076698,3.8723756487631262,0
DelegationServer,33554432,26,8.657775273,3.875641367666624,0
DelegationServer,33554432,27,8.634158147,3.886242460321244,0
DelegationServer,33554432,28,8.906657852,3.767342650584171,0
DelegationServer,33554432,29,8.10612981,4.139389916826412,0
DelegationServer,33554432,30,7.654937985,4.383370847125158,0
DelegationServer,33554432,31,7.913608069,4.240092724763926,0
DelegationServer,33554432,32,7.878673897,4.258893366912505,0
DelegationServer,33554432,33,7.632335257,4.396351951288504,0
DelegationServer,33554432,34,7.636296016,4.394071671618656,0
DelegationServer,33554432,35,7.815699576,4.293209030582114,0
DelegationServer,33554432,36,7.876608029,4.260010384731562,0
DelegationServer,33554432,37,8.145230569,4.119518989149931,0
DelegationServer,33554432,38,7.648013534,4.387339516441813,0
DelegationServer,33554432,39,7.749989291,4.329610111715443,0
DelegationServer,33554432,40,7.668692879,4.375508646575962,0
DelegationServer,33554432,41,8.270650747,4.057048595864255,0
DelegationServer,33554432,42,8.191621729,4.09618914423386,0
DelegationServer,33554432,43,7.678035754,4.370184390261437,0
DelegationServer,33554432,44,7.870723485,4.263195380189373,0
DelegationServer,33554432,45,7.617666134,4.404817881192796,0
DelegationServer,33554432,46,7.6436694,4.389832977339391,0
DelegationServer,33554432,47,8.338644085,4.023967405007669,0
DelegationServer,33554432,48,8.443118238,3.9741753051593354,0
DelegationServer,33554432,49,8.379181086,4.004500160052992,0
DelegationServer,33554432,50,8.453102289,3.9694813635065427,0
DelegationServer,33554432,51,8.347127353,4.019877807176425,0
DelegationServer,33554432,52,8.489927736,3.9522635578767664,0
DelegationServer,33554432,53,8.580361142,3.9106083584004936,0
DelegationServer,33554432,54,8.334640046,4.025900556569758,0
DelegationServer,33554432,55,8.443262778,3.974107271353719,0
DelegationServer,33554432,56,8.061117948,4.1625035406317314,0
DelegationServer,33554432,57,8.530535988,3.9334494394257753,0
